#data
a
#tokens
1;1;identifier;a
1;2;EOF;

#data
a
b
  c
#tokens
1;1;identifier;a
2;1;identifier;b
3;3;identifier;c
3;4;EOF;

#data escaped
     a    \u0020
#tokens
1;6;identifier;a
1;12;EOF;

#data
a     # comment
b
#tokens
1;1;identifier;a
2;1;identifier;b
2;2;EOF;

#data
a+b
#tokens
1;1;identifier;a
1;2;+;
1;3;identifier;b
1;4;EOF;

#data
a  +  b++
#tokens
1;1;identifier;a
1;4;+;
1;7;identifier;b
1;8;+;
1;9;+;
1;10;EOF;

#data escaped
xyz = BLOCK\u0020
#tokens
1;1;identifier;xyz
1;5;=;
1;7;BLOCK;
1;13;EOF;

#data
MACRO x(y); BLOCK; 'abc'; END
#tokens
1;1;MACRO;
1;7;identifier;x
1;8;(;
1;9;identifier;y
1;10;);
1;11;;;
1;13;BLOCK;
1;18;;;
1;20;string;abc
1;25;;;
1;27;END;
1;30;EOF;

#data
| #abc
| #def
#tokens
2;5;EOF;

#data
a!=b
#tokens
1;1;identifier;a
1;2;!=;
1;4;identifier;b
1;5;EOF;

#data
a !== b
#tokens
1;1;identifier;a
1;3;!=;
1;5;=;
1;7;identifier;b
1;8;EOF;

#data
!!a
#tokens
1;1;!;
1;2;!;
1;3;identifier;a
1;4;EOF;

#data
a<>b
#tokens
1;1;identifier;a
1;2;<;
1;3;>;
1;4;identifier;b
1;5;EOF;

#data
a${b}c
#tokens
1;1;identifier;a
1;2;${;
1;4;identifier;b
1;5;};
1;6;identifier;c
1;7;EOF;

#data
a && b || c
#tokens
1;1;identifier;a
1;3;&&;
1;6;identifier;b
1;8;||;
1;11;identifier;c
1;12;EOF;

#data
a &= c
#tokens
1;1;identifier;a
1;3;&;
1;4;=;
1;6;identifier;c
1;7;EOF;

#data
0.4cm
#tokens
1;1;number;0.4
1;4;identifier;cm
1;6;EOF;

#data
04*-02
#tokens
1;1;number;04
1;3;*;
1;4;number;-02
1;7;EOF;

#data
6.0 - 0.2
#tokens
1;1;number;6.0
1;5;-;
1;7;number;0.2
1;10;EOF;

#data
.123
#tokens
1;1;.;
1;2;number;123
1;5;EOF;

#data
1.0.8
#tokens
1;1;number;1.0
1;4;.;
1;5;number;8
1;6;EOF;

#data
123,567.9
#tokens
1;1;number;123
1;4;,;
1;5;number;567.9
1;10;EOF;

#data
a[b]
#tokens
1;1;identifier;a
1;2;[;
1;3;identifier;b
1;4;];
1;5;EOF;

#data
\a\\b
#tokens
1;1;\;
1;2;identifier;a
1;3;\;
1;4;\;
1;5;identifier;b
1;6;EOF;

#data
a/b //c
#tokens
1;1;identifier;a
1;2;/;
1;3;identifier;b
1;5;/;
1;6;/;
1;7;identifier;c
1;8;EOF;

#data
a % b{c}
#tokens
1;1;identifier;a
1;3;%;
1;5;identifier;b
1;6;{;
1;7;identifier;c
1;8;};
1;9;EOF;

#data
a.x?b:c;
#tokens
1;1;identifier;a
1;2;.;
1;3;identifier;x
1;4;?;
1;5;identifier;b
1;6;:;
1;7;identifier;c
1;8;;;
1;9;EOF;

#data
$a_&b
#tokens
1;1;$;
1;2;identifier;a_
1;4;&;
1;5;identifier;b
1;6;EOF;

#data
$a _ &b
#tokens
1;1;$;
1;2;identifier;a
1;4;_;
1;6;&;
1;7;identifier;b
1;8;EOF;

#data
`abc`def
#tokens
1;1;`abc`def;
1;9;EOF;

#data escaped
ab\u4e00c
#tokens escaped
1;1;identifier;ab
1;3;\u4e00c;
1;5;EOF;

#data
"abc"
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;abc
1;5;);
1;6;EOF;

#data
"abc""def"
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;abc
1;5;);
1;7;(;
1;7;string;
1;7;_;
1;7;string;def
1;10;);
1;11;EOF;

#data
"ab"cd"ef"
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;ab
1;4;);
1;5;identifier;cd
1;8;(;
1;8;string;
1;8;_;
1;8;string;ef
1;10;);
1;11;EOF;

#data
"ab
#errors
1;4;m;unclosed string literal
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;ab
1;4;);
1;4;EOF;

#data
"abc\"d"
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;abc
1;5;_;
1;6;string;"
1;7;_;
1;7;string;d
1;8;);
1;9;EOF;

#data
"a\\b\\c"
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;a
1;3;_;
1;4;string;\
1;5;_;
1;5;string;b
1;6;_;
1;7;string;\
1;8;_;
1;8;string;c
1;9;);
1;10;EOF;

#data
"a\"b
#errors
1;6;m;unclosed string literal
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;a
1;3;_;
1;4;string;"
1;5;_;
1;5;string;b
1;6;);
1;6;EOF;

#data
""
#tokens
1;2;(;
1;2;string;
1;2;);
1;3;EOF;

#data
"ab""
#errors
1;6;m;unclosed string literal
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;ab
1;4;);
1;6;(;
1;6;string;
1;6;);
1;6;EOF;

#data
"ab\"
#errors
1;6;m;unclosed string literal
#tokens
1;2;(;
1;2;string;
1;2;_;
1;2;string;ab
1;4;_;
